1:25 | (Member (2 months)) Marie: :_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2:
1:25 | (Member (2 months)) ひこにぎり: がんばれ〜！！
1:25 | (Member (2 months)) Caviar Toast🍞: :_glowstick1:IKEY:_glowstick2::_glowstick1:WIKEY:_glowstick2::_glowstick1:KAWAIIII:_glowstick2::_fanboy::_fanboy::_fanboy:
1:27 | (Member (6 months)) かなちゃ: :_glowstick1::_cheer::_glowstick2:
1:27 | (Member (6 months)) Milki: :_glowstick1::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_glowstick2:
1:27 | (Member (2 months)) かぬはらAkcaliz: IKEY WIKEY KAWAII:_fanboy::_fanboy::_fanboy:
1:27 | (Member (2 months)) hufflepunn: :_glowstick1::_cheer::_glowstick2:
1:27 | (Member (2 months)) Naomi Nanase: let's gooooooooo:_glowstick1::_cheer::_glowstick2::_fanboy::_heart:
1:28 | (Member (1 month)) Kay 케이: :_glowstick1::_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2::_glowstick2:
1:28 | (Member (2 months)) Ting Yin: LETS GO MY DEAR IKEY:_glowstick1::_cheer::_glowstick2::_heart:
1:28 | (Member (6 months)) Makiちゃん: :_cheer::_cheer::_cheer::_cheer::_cheer:
1:29 | (Member (2 months)) Shika: :_fanboy::_fanboy::_fanboy:
1:29 | (Member (1 month)) lirio Su
1:31 | (Member (2 months)) Anna C: IKZZZZZZZZZZ
1:31 | (Member (1 month)) kayu: :_cheer::_cheer::_cheer:
1:31 | (New member) 黃彥菁
