Timestamp,Name,Comment,Language
20:06,| wwingg, FREE FOREVERRRR :blue_heart::blue_heart::blue_heart:,en
2:11:42,| H4V0Q, his cut,en
1:10:38,| Psycho Pearl, he's going on an adventure,en
1:08:34,| Jade!!🐢🐸, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
2:23:38,| (New member) Arien , :heart_decoration::purple_heart::heart_decoration::purple_heart::heart_decoration::purple_heart:,en
1:40:02,| (Member (6 months)) Chewing, :_heart::_heart:,en
2:16:14,| babybitxh, TRUEEE AWWW :red_heart::red_heart::red_heart::red_heart:,en
3:03,| 欣xin.⁵²⁷, :elbowcough::elbowcough::elbowcough::elbowcough::elbowcough::elbowcough:,en
2:02:44,| Male Enjoyer 💙, Because chat can't control themselves lmao,en
34:18,| Miyanodesuu, I AM RELAX :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:,en
27:57,| (Member (2 months)) VB, :_Worship::_Worship::_Worship:,en
52:29,| Maya, :blue_heart::blue_heart::blue_heart::blue_heart:,en
2:54,| (Member (6 months)) Melissa, SHE GOT A WHOLE ASS CASTLE NOW,en
3:37:16,| (Member (2 months)) myyyl, byeeeee :_ShuLove::_ShuLove::_ShuLove:,en
8:10,| Tahniah Kinasih, who's that,en
4:40,| 𝟏𝐞𝐲𝟏𝐞𝐲リリー, Are you okay vox:pleading_face::pleading_face::pleading_face:,en
1:19:08,| 黒目れい, :red_heart:,en
23:54,| AliceTheRipper _55, :orange_heart::orange_heart::orange_heart:,en
1:08:10,| (Member (6 months)) SilencedBarbarian, might get bonked for that one lol,en
16:53,| Evelyn_Anime_Fan 💕😜, :blue_heart:ikey:blue_heart:wikey:blue_heart:,en
19:52,| Sherry WONG, :see_no_evil_monkey::yellow_heart::yellow_heart::yellow_heart:,en
3:18:12,| ai_rins, Vanta cracked:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,en
