1:36 | gyuvonriegan: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:36 | Azel: Hi hiii
1:36 | (Member (2 months)) Damiano: Hellooo :_UkiWoo1:
1:36 | jeelorz: :purple_heart::purple_heart::purple_heart:
1:37 | (New member) mua smile: :_UkiWahh::_UkiWahh::_UkiWahh::_UkiWahh::_UkiWahh::_UkiWahh::_UkiWahh::_UkiWahh:
1:38 | {🦋 The butterfly Momo 🦋}: Ukiiiii :crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::crystal_ball::purple_heart::umbrella::umbrella::umbrella::umbrella::umbrella::umbrella:
1:38 | MoAlistor: UKIII:purple_heart::purple_heart::purple_heart:
1:38 | 云雪: hi Uki～
1:39 | Hina: Ukiiiii :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:39 | Swag_bubble00: Hello uki:purple_heart::purple_heart::purple_heart::purple_heart:
1:39 | Cheesecake: Hi uki :purple_heart::purple_heart::purple_heart:
1:39 | (Member (1 month)) Xan🌸: :_UkiHeart::_UkiHeart::_UkiHeart:
1:39 | ajie._.: Uki
1:40 | アン: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:40 | Skye Rojo: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:40 | Yellish: Ukiiiiii
1:41 | (Member (2 months)) AnzuMiu: Hi:_UkiHeart::_UkiHeart:
1:41 | dae: UKI
