1:21 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:22 | Anonymous Hippo: :purple_heart::blue_heart::yellow_heart:
1:22 | huang ya: :purple_heart::blue_heart::yellow_heart:
1:22 | Zix: CAW CAW!! 
1:22 | Mari(nette): :yellow_heart::purple_heart::blue_heart::yellow_heart::purple_heart::blue_heart:
1:23 | jiro: E
1:23 | Lady Asura: :purple_heart::blue_heart::yellow_heart:
1:24 | Eko: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:25 | Arth Stanly: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:25 | Lurking Puppy: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:25 | marshmallow kitty: :purple_heart::blue_heart::yellow_heart:
1:26 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:26 | eeee: HI CHAT FIRST KRISIS COLLAB LETS GOO
1:26 | Adrii: :purple_heart::blue_heart::yellow_heart:
1:27 | Nicou: HELLO EVERYONE!
1:28 | Pistachio Pancake: :man_dancing::man_dancing::man_dancing::woman_dancing::woman_dancing::woman_dancing:
1:28 | Feline Fortuna: :purple_heart::blue_heart::yellow_heart:
1:29 | Afifa Fira: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:29 | kuresumiko⚡️🐏: can't wait:face-red-heart-shape:
1:29 | Rubio Bipolar: :purple_heart::blue_heart::yellow_heart:
1:30 | SER: CAW CAW
1:30 | SearingWrath: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:30 | Shinoo: IM EXCITEDDDD
1:30 | Lurking Puppy: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:30 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:30 | Anonymous Hippo: :purple_heart::blue_heart::yellow_heart:
1:30 | Cosmo : CAWCAW
1:30 | Ara Zefi: hi Vanta
1:30 | •Mango-Harmony• 💜♈️: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:31 | deric | デリク: :purple_heart::blue_heart::yellow_heart:
1:31 | Violette°: :purple_heart::blue_heart::yellow_heart:
1:32 | Canis: CAW CAW
1:32 | Melomoriz: :purple_heart::blue_heart::yellow_heart:
1:32 | 🦋 l e x i 🦋: :purple_heart::blue_heart::yellow_heart:
1:32 | Janelle Evangelista: :purple_heart::blue_heart::yellow_heart:
1:32 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
1:32 | Betty Potato: :purple_heart::blue_heart::yellow_heart:
1:32 | YukiUki🕹🩻: :purple_heart::blue_heart::yellow_heart:
1:33 | Blackberry44 (Berry): KRISIS :blue_heart::purple_heart::yellow_heart:
1:33 | 💋Aether unknown💅: :purple_heart::blue_heart::yellow_heart:
1:33 | kage: CAW CAWWW
1:34 | Daisy(VantacrewMom): caw CAWEEW!!
1:36 | zirabox: :purple_heart::blue_heart::yellow_heart:
1:36 | riso: CAWCAQQWW
1:36 | Kanata Katagiri [MFG GT86 Racer]: caw caw
1:37 | Zircon: CAWW CAWW
1:37 | lee: EYYYYYYOOOO
1:37 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
1:38 | Betty Potato: HIIIIII:purple_heart::blue_heart::yellow_heart:
1:39 | Dana: :purple_heart::blue_heart::yellow_heart:
1:39 | Arth Stanly: CAWCAW:purple_heart::blue_heart::yellow_heart:
1:39 | Chiisequack: :purple_heart::blue_heart::yellow_heart:
1:39 | G. M. E.: CAW CAW
1:39 | SnowySilence: hellooooo
1:40 | Dizzy: :purple_heart::blue_heart::yellow_heart:
1:40 | OKAYkatieOKAY: VANTAAAAAA
1:40 | Rose Alu🍓🍰: Cawww caww
1:40 | 《 Leentoshi 》リーントシ: AHHHHH
1:40 | Sunny: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:40 | Pistachio Pancake: Ayi
1:40 | chai: YOOO
1:40 | Anonymous Hippo: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:41 | Itsumi: AYYYYY
1:41 | Psycho Pearl: heyyy
1:41 | 💚CupCat💚: :face-blue-smiling::face-blue-smiling:
1:41 | kage: HIIII
1:42 | seven : AYOOOOOOO
1:42 | REV olution: KRISIS COLLABBB
1:42 | lil baby mina: AYYOOOOO :blue_heart::purple_heart::yellow_heart:
