0:41 | (Member (1 month)) chuiii Liao: miss you:red_heart::red_heart::red_heart::red_heart:
0:41 | 404 not found : :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:41 | Ash: :red_heart::red_heart::red_heart::red_heart::red_heart::kiss::rose:
0:42 | (Member (2 months)) G29: HIiii
0:42 | siori: :red_heart::red_heart::red_heart:
0:42 | enu: lets goo
0:42 | (Member (1 month)) Kinoko Yurimy: :_MiPOG::_MiPOG::_MiPOG:
0:42 | (New member) Summer 👹🧧: daddy:red_heart::red_heart::red_heart::red_heart::red_heart:
0:42 | BOBANOBOBABAA: MIDAD
0:42 | (New member) kiwi:3: MILORD:_MiPray::_MiPray:
0:43 | (New member) Kiu: Hi daddy:red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | iampearly: :red_heart::red_heart::red_heart:
0:43 | (Member (2 months)) Iris paracos: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | (Member (2 months)) Cee Clips👹: Lesgo lesgo lesgo
0:43 | (Member (2 months)) rabbit: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | Jermaine Barbosa: hi chatt:red_heart::red_heart::red_heart::red_heart:
0:43 | Tartan Luna: Good morning/afternoon/evening everyone
0:43 | Rem Kaneshiro 】Pogster Voxlotl【: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | Yong Jie [永婕]: :red_heart::red_heart::red_heart:
0:43 | (Member (2 months)) zan: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | Tabaza Zahwa: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | (Member (2 months)) Shizuuuฅ˙Ⱉ ̇ฅ: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | (Member (1 month)) 刀右dao yo: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | Elíza :3: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | (Member (1 month)) 黎光Thera: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:43 | Shana_: HI MILORDDDD:loudly_crying_face::red_heart::red_heart::red_heart::red_heart:
0:44 | (Member (2 months)) __vsnj__: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:44 | (New member) 中文系天才少女: Good evening chat 
0:44 | Aaron Lewis Ch. [EN]: Haaaiii
0:44 | (Member (2 months)) Yukari_HaRu: :red_heart::red_heart::red_heart::_MiPray:
0:44 | 熙熙熙熙: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:44 | Asuri Yuu: uuwwaaaaaaaaa
0:44 | Akane aka奇怪生物ʕ•ᴥ•ʔ: daddy ~~~:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:44 | ZerorRei00: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:44 | 触手まる: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:44 | Cosmic: Daddy 
0:44 | Rua Honey Badger: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
