1:08 | (Member (2 months)) Karla 💙💛: :_YuQArson::_YuQArson::_YuQArson::_YuQArson:
1:09 | Himari🌸💗: ohayo~
1:09 | wed smoker: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
1:10 | Roca: :virtualhug::virtualhug::virtualhug:
1:11 | Wikii_Bee: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
1:11 | (Member (2 months)) jinx: IKZZZZZ :_YuQHeart::_YuQHeart::_YuQHeart:
1:12 | (Member (2 months)) memi: :_YuQHeart::_YuQHeart:
1:12 | (Member (2 months)) Koji-kun: LET'S GO WILSON AND VANTA :_YuQStick::_YuQStick::_YuQStick:
1:12 | (Member (2 months)) Karla 💙💛: Lets gooooo
1:12 | (Member (2 months)) Violette: :_YuQArson::_YuQArson:
1:12 | (Member (2 months)) saki: ikzzz:_YuQStick::_YuQStick::_YuQStick:
1:12 | Nou Xiong: Hello everyone !
1:12 | (Member (2 months)) juno ♡: :_YuQArson::_YuQArson::_YuQArson:
1:14 | (Member (2 months)) Himiko Toga: :_YuQStick::_YuQStick::_YuQStick:
1:14 | (Member (1 month)) Jessi: :_YuQGrab::_YuQArson:
1:14 | °Eggie°: (●’◡’●)ﾉ
1:15 | (Member (2 months)) こも: :_YuQHeart::_YuQHeart::_YuQHeart:
1:15 | Winniewynter: :yellow_heart::yellow_heart::yellow_heart:
1:16 | (Member (1 month)) ⭐️haru⭐️: let's gooo:_YuQArson::_YuQArson::_YuQStick:
1:17 | (Member (2 months)) Nana 🏴󠁧󠁢󠁳󠁣󠁴󠁿 FaunaCaledonia : :_YuQHeart::_YuQHeart::_YuQHeart:
1:17 | Mikaeo: WOOOO LETS GOOOOO
1:17 | (Member (1 month)) Kaiju: OHAYUUU
1:18 | Shu's Simp: WOOOO
1:19 | Angela Go: hellooo
1:20 | Fonsine 🔫🐻 but Kyorphaned : ohayuuu wilsoneerss
1:20 | (Member (2 months)) SirRain: :_YuQHeart::_YuQHeart::_YuQHeart:
1:20 | yzabel ♡: lol his latest tweet 
1:20 | (Member (1 month)) Goose: :_YuQArson::_YuQArson::_YuQArson:
1:21 | Shiry: :D
1:21 | (Member (2 months)) Yuvie。: :_YuQStick::_YuQStick::_YuQStick:
1:22 | (Member (1 month)) Jessi: :_YuQGrab::_YuQArson:
1:22 | Lexi: :elbowcough::elbowcough::elbowcough:
1:22 | (Member (2 months)) Christy^^: BGM:_YuQJam::_YuQJam::_YuQJam:
1:23 | BLUE. ☁️: let's gooooo
1:24 | (Member (2 months)) Windy is stupid: :_YuQStick::_YuQStick:
1:25 | (Member (2 months)) solyen: :_YuQHeart:
1:25 | (Member (2 months)) RosieEmilia (Rosa): :_YuQHeart::_YuQHeart::_YuQHeart:
1:26 | (Member (2 months)) moon ୨୧: :_YuQStick::_YuQStick::_YuQStick:
1:26 | (Member (1 month)) Orukami: :_YuQJam:
1:27 | (Member (2 months)) Esther (still in holiday mode help) : :_YuQStick::_YuQStick::_YuQStick:
1:27 | (Member (2 months)) eclipse: :_YuQStick::_YuQStick:
1:28 | Susu Star: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
1:28 | (New member) Ryu Ko: LETS GO, preps complete, i can laugh as loud as i want :_YuQLOL:
1:29 | Yumi-chan: hi everyone!
1:29 | (New member) Van : WOKE UP EARLY ON A WEEKEND FOR THIS LET'S GOOO:_YuQArson::_YuQArson::_YuQArson:
1:29 | (Member (2 months)) Christy^^: :_YuQJam::_YuQJam::_YuQJam:
1:30 | (Member (2 months)) Violette: :_YuQStick::_YuQStick:
1:30 | (Member (2 months)) Karla 💙💛: WOOOO OHAYUUU :_YuQArson::_YuQArson:
1:31 | (Member (2 months)) Koji-kun: :_YuQStick::_YuQStick::_YuQStick:
1:35 | (Member (2 months)) DuskFadedToDawn: :_YuQStick::_YuQStick::_YuQStick:
1:35 | (Member (1 month)) CapyCat: :_YuQStick::_YuQArson::_YuQArson:
1:35 | (Member (2 months)) saki: :_YuQStick::_YuQStick::_YuQStick:
1:36 | yzabel ♡: hiiii everyone!!!
1:36 | (Member (2 months)) Stiglitz: :_YuQPeek::_YuQJam::_YuQJam:
1:37 | (New member) WiM🔮: is it lagging behind for anyone else?
1:37 | (Member (2 months)) miikou _: :_YuQArson::_YuQArson:
1:38 | Lia🌻: :fire::fire::fire:
1:39 | •SAYAKA•: WOHOOOOOO
1:40 | (New member) - jeane 🃏🔪: :_YuQStick::_YuQStick::_YuQStick:
1:41 | Xtina🌸🌟: ohayu~
1:42 | (New member) Twinkles: OHAYUUU
1:43 | (Member (2 months)) izzyisabaka: :_YuQStick::_YuQStick::_YuQStick:
1:43 | (New member) Kaybear🧸: :_YuQStick::_YuQStick::_YuQStick:
1:43 | (Member (2 months)) DuskFadedToDawn: OHAYU~! :_YuQStick::_YuQStick::_YuQStick:
1:43 | Kyla: LETS GOOOOOOO
1:44 | Pillow_w: :face-red-heart-shape::face-red-heart-shape:
1:44 | (Member (2 months)) hinorinnn: YOU GOT THIS:_YuQPat::_YuQPat::_YuQPat:
1:45 | (Member (2 months)) mon__san: :_YuQStick::_YuQStick::_YuQStick:
1:46 | (Member (2 months)) SkiyLine♦️🖋️: :_YuQStick::_YuQStick::_YuQStick:
1:46 | (Member (2 months)) Esther (still in holiday mode help) : :_YuQArson::_YuQArson::_YuQArson:
1:46 | Lady Brushogun 2.0: :yellow_heart::yellow_heart::yellow_heart:
1:47 | CranberryMymo: so ecited
